"","lizard_id","position","species","trt","clutch","hatch_date","date_start","age_start","sex","food_ingested","mass_before","mass_after","delta_mass","delta_mass_rescaled"
"70","1674","G1","guichenoti","CORT-Cold","CL455_22","9/1/2023","20/7/2023",192,"Female",1.08235294117647,692,792,100,184
"71","1795","G3","guichenoti","Control-Cold","CL489_22","6/2/2023","21/7/2023",165,"Female",16.0823529411765,786,1023,237,321
"72","2009","G1","guichenoti","Control-Hot","CL542_22","25/1/2023","20/7/2023",176,"Male",17.0823529411765,845,1041,196,280
"73","2047","B3","guichenoti","Control-Cold","CL552_22","17/2/2023","20/7/2023",153,"Male",-9.91764705882353,444,492,48,132
"74","2073","A1","delicata","CORT-Cold","CL560_22","15/2/2023","20/7/2023",155,"Male",-10.9176470588235,524,529,5,89
"75","2081","G3","guichenoti","CORT-Cold","CL562_22","20/2/2023","21/7/2023",151,"Male",-8.91764705882353,535,593,58,142
"76","2105","C4","delicata","CORT-Cold","CL569_22","13/2/2023","21/7/2023",158,"Female",-0.91764705882353,423,489,66,150
"77","2106","F3","delicata","Control-Hot","CL569_22","25/1/2023","20/7/2023",176,"Female",-5.91764705882353,518,596,78,162
"78","2164","E3","guichenoti","CORT-Cold","CL584_22","24/2/2023","21/7/2023",147,"Female",-16.9176470588235,445,480,35,119
"79","2205","C2","delicata","Control-Hot","CL595_22","3/2/2023","20/7/2023",167,"Male",5.08235294117647,560,739,179,263
"80","2242","G4","delicata","CORT-Hot","CL604_22","6/2/2023","21/7/2023",165,"Male",-6.91764705882353,732,752,20,104
"81","2255","E2","delicata","CORT-Hot","CL607_22","6/2/2023","20/7/2023",164,"Female",-12.9176470588235,416,488,72,156
"82","2298","A2","guichenoti","CORT-Hot","CL619_23","10/2/2023","20/7/2023",160,"Female",1.08235294117647,453,618,165,249
"83","2346","E4","delicata","CORT-Cold","CL633_23","3/3/2023","21/7/2023",140,"Female",-13.9176470588235,376,408,32,116
"84","2351","F1","delicata","Control-Hot","CL634_23","13/2/2023","21/7/2023",158,"Male",-15.9176470588235,700,627,-73,11
"85","2486","F3","delicata","CORT-Hot","CL677_23","27/2/2023","20/7/2023",143,"Female",-11.9176470588235,551,561,10,94
