lizard_id,lizard_id,position,species,trt,clutch,hatch_date,mass,SVL,TL,Day,Sex,food_ingested,lat_to_move,lat_to_shelter,lat_move_to_shelter,Emerged_after,emerged_40min,notes
LD1424_22,1424,F3,delicata,A_23,CL383_22,6/1/2023,0.719,35,54,Before,Female,30,118,371,253,1,1,
LD2106_22,2106,F3,delicata,A_28,CL569_22,25/1/2023,0.518,30,26,Before,Female,16,101,160,59,0,0,Autotomized
LD2486_22,2486,F3,delicata,B_28,CL677_23,27/2/2023,0.551,30,42,Before,Female,10,62,884,822,0,0,
LG1340_22,1340,F4,guichenoti,B_28,CL360_22,12/12/2022,0.655,33,19,Before,Female,16,0,157,157,1,1,Autotomized
LG1417_22,1417,F4,guichenoti,B_28,CL381_22,6/1/2023,0.59,31,22,Before,Female,11,122,927,805,1,1,Autotomized; empty
LG1467_22,1467,F4,guichenoti,A_28,CL397_22,23/12/2022,0.824,35,54,Before,Female,20,0,34,34,1,0,
LG1421_22,1421,G1,guichenoti,B_23,CL382_22,6/1/2023,0.79,32,47,Before,Male,24,194,830,636,1,1,
LG1674_22,1674,G1,guichenoti,B_23,CL455_22,9/1/2023,0.692,32,53,Before,Female,23,64,247,183,0,0,
LG2009_22,2009,G1,guichenoti,A_28,CL542_22,25/1/2023,0.845,34,56,Before,Male,39,164,194,30,1,1,
LD1258_22,1258,G2,delicata,A_28,CL334_22,5/12/2022,0.69,34,52,Before,Female,18,420,554,134,0,0,
LD1328_22,1328,G2,delicata,A_23,CL357_22,26/12/2022,0.752,32,46,Before,Male,20,19,183,164,1,0,
LD1408_22,1408,G2,delicata,B_28,CL379_22,14/12/2022,0.75,34,54,Before,Female,22,23,109,86,1,1,
LG1360_22,1360,G3,guichenoti,A_28,CL366_22,14/12/2022,0.582,31,40,Before,Female,35,339,1002,663,1,1,Empty
LG1795_22,1795,G3,guichenoti,A_23,CL489_22,6/2/2023,0.786,35,56,Before,Female,38,0,66,66,1,1,
LG2081_22,2081,G3,guichenoti,B_23,CL562_22,20/2/2023,0.535,28,41,Before,Male,13,64,1164,1100,1,1,
LD1223_22,1223,G4,delicata,A_23,CL325_22,19/12/2022,0.566,31,38,Before,Female,12,30,291,261,0,0,
LD1334_22,1334,G4,delicata,A_28,CL358_22,7/12/2022,0.912,36,36,Before,Female,30,97,286,189,0,0,Autotomized
LD1619_22,1619,G4,delicata,B_23,CL440_22,23/1/2023,0.514,29,46,Before,Female,20,36,3026,2990,0,1,Empty
LD2242_22,2242,G4,delicata,B_28,CL604_22,6/2/2023,0.732,32,51,Before,Male,15,181,2369,2188,1,1,
LD1255_22,1255,A1,delicata,A_23,CL334_22,23/12/2022,0.748,33,50,After,Male,22,4,1302,1298,0,0,
LD1382_22,1382,A1,delicata,B_28,CL373_22,16/12/2022,0.647,32,42,After,Female,18,151,259,108,1,1,
LD1410_22,1410,A1,delicata,A_28,CL379_22,14/12/2022,0.87,33,52,After,Female,33,31,303,272,0,0,
LD2073_22,2073,A1,delicata,B_23,CL560_22,15/2/2023,0.529,29,39,After,Male,11,281,327,46,0,0,Autotomized
LG1373_22,1373,A2,guichenoti,A_28,CL370_22,14/12/2022,0.713,28,40,After,Female,23,32,180,148,0,0,Autotomized; empty
LG1478_22,1478,A2,guichenoti,B_23,CL400_22,18/1/2023,0.853,33,51,After,Male,37,3,20,17,0,0,
LG2298_22,2298,A2,guichenoti,B_28,CL619_23,10/2/2023,0.618,30,41,After,Female,23,7,19,12,1,1,Thanatosis
LD1207_22,1207,A3,delicata,B_23,CL320_22,16/12/2022,0.739,29,49,After,Female,19,1,64,63,1,1,Empty
LD1381_22,1381,A3,delicata,A_28,CL373_22,12/12/2022,0.709,34,42,After,Male,14,8,68,60,0,0,Autotomized
LD1401_22,1401,A3,delicata,B_28,CL377_22,19/12/2022,0.508,29,42,After,Female,12,122,311,189,0,0,
LG1283_22,1283,A4,guichenoti,A_23,CL344_22,28/12/2022,0.764,31,49,After,Female,21,1300,1625,325,0,0,Empty
LG1562_22,1562,A4,guichenoti,B_28,CL423_22,2/1/2023,0.695,32,21,After,Female,13,16,41,25,0,0,Autotomized; empty
LG1609_22,1609,A4,guichenoti,A_28,CL437_22,2/1/2023,0.916,32,52,After,Female,30,13,146,133,0,0,Empty
LG1276_22,1276,B1,guichenoti,A_28,CL341_22,5/12/2022,0.964,35,56,After,Female,40,118,318,200,0,0,Empty
LG1438_22,1438,B1,guichenoti,B_28,CL386_22,21/12/2022,0.754,33,50,After,Male,24,1,244,243,1,0,Male; empty
LD1198_22,1198,B2,delicata,A_23,CL318_22,14/12/2022,0.818,35,46,After,Male,20,4,12,8,1,1,Male; empty; autotomized
LD1233_22,1233,B2,delicata,B_23,CL327_22,19/12/2022,0.808,33,52,After,Female,31,189,267,78,1,0,Empty
LD1240_22,1240,B2,delicata,A_28,CL330_22,2/12/2022,0.901,35,57,After,Female,40,70,229,159,0,0,Empty
LD1284_22,1284,B2,guichenoti,B_28,CL345_22,5/12/2022,0.787,33,42,After,Male,35,1,132,131,1,1,
LG1432_22,1432,B3,guichenoti,B_23,CL385_22,9/1/2023,0.735,32,40,After,Male,12,26,42,16,1,1,Empty
LG2047_22,2047,B3,guichenoti,A_23,CL552_22,17/2/2023,0.492,29,35,After,Male,12,13,129,116,1,1,Autotomized
LD1205_22,1205,B4,delicata,A_28,CL320_22,28/11/2022,0.833,34,44,After,Male,31,10,23,13,1,1,Autotomized; empty
LD1296_22,1296,B4,delicata,B_23,CL348_22,26/12/2022,0.651,31,50,After,Female,10,192,731,539,1,1,
LD1399_22,1399,B4,delicata,A_23,CL377_22,6/1/2023,0.734,32,52,After,Male,16,15,107,92,1,1,
LG1366_22,1366,C1,guichenoti,A_28,CL368_22,7/12/2022,0.728,33,25,After,Female,30,33,56,23,1,1,Autotomized
LG1374_22,1374,C1,guichenoti,B_23,CL371_22,6/1/2023,0.81,35,50,After,Male,28,26,38,12,1,1,Empty
LG1463_22,1463,C1,guichenoti,B_28,CL396_22,23/12/2022,0.76,33,39,After,Female,36,14,36,22,1,0,Autotomized
LD1202_22,1202,C2,delicata,B_28,CL319_22,30/11/2022,0.859,35,56,After,Male,25,5,7,2,1,0,Empty
LD1322_22,1322,C2,delicata,B_23,CL356_22,26/12/2022,0.741,32,47,After,Male,15,16,21,5,0,0,Empty
LD2205_22,2205,C2,delicata,A_28,CL595_22,3/2/2023,0.739,33,56,After,Male,27,112,122,10,0,0,
LG1611_22,1611,C3,guichenoti,B_28,CL438_22,4/1/2023,0.861,34,41,After,Female,31,76,437,361,1,1,Empty
LD1222_22,1222,C4,delicata,A_28,CL325_22,30/11/2022,0.713,34,54,After,Female,12,16,189,173,0,0,Empty
LD1390_22,1390,C4,delicata,A_23,CL374_22,2/1/2023,0.734,34,19,After,Male,31,38,168,130,0,0,Empty
LD1454_22,1454,C4,delicata,B_28,CL392_22,19/12/2022,0.805,33,50,After,Female,26,122,152,30,0,0,Empty
LD2105_22,2105,C4,delicata,B_23,CL569_22,13/2/2023,0.489,29,18,After,Female,21,313,646,333,1,1,
LG1177_22,1177,D1,guichenoti,A_23,CL314_22,9/12/2022,0.729,32,47,After,Male,24,16,60,44,1,1,Empty
LG1358_22,1358,D1,guichenoti,B_28,CL365_22,5/12/2022,1.025,38,57,After,Female,36,1,580,579,1,1,Hormone Dripped; Twin Lizards?
LG1479_22,1479,D1,guichenoti,A_28,CL400_22,26/12/2022,0.824,34,48,After,Female,27,11,35,24,1,0,Empty
LD1303_22,1303,D2,delicata,B_23,CL350_22,21/12/2022,0.715,32,48,After,Female,22,40,168,128,0,0,Empty
LD1531_22,1531,D2,delicata,A_23,CL414_22,18/1/2023,0.75,33,41,After,Male,25,172,277,105,1,0,Autotomized; empty
LG1371_22,1371,D3,guichenoti,A_23,CL370_22,9/1/2023,0.813,35,46,After,Male,35,27,245,218,1,1,Empty
LG1459_22,1459,D3,guichenoti,B_23,CL394_22,11/1/2023,0.69,29,48,After,Male,21,0,118,118,1,1,
LD1166_22,1166,D4,delicata,A_28,CL312_22,21/11/2022,0.828,35,57,After,Female,27,8,39,31,0,0,
LD1192_22,1192,D4,delicata,A_23,CL317_22,14/12/2022,0.833,35,52,After,Male,26,23,28,5,1,1,Empty
LD1229_22,1229,D4,delicata,B_28,CL326_22,5/12/2022,0.923,35,57,After,Male,20,126,134,8,1,1,
LD1257_22,1257,D4,delicata,B_23,CL334_22,23/12/2022,0.971,35,56,After,Male,40,160,325,165,0,0,Empty
LG1442_22,1442,E1,guichenoti,B_23,CL388_22,9/1/2023,0.501,30,6,After,Male,11,208,354,146,0,0,Lost the tail while measuring
LG1565_22,1565,E1,guichenoti,B_28,CL424_22,2/1/2023,0.654,30,42,After,Female,14,1385,1385,0,1,1,
LD1174_22,1174,E2,delicata,A_23,CL313_22,2/12/2022,0.823,35,64,After,Male,19,28,317,289,0,0,
LD1185_22,1185,E2,delicata,B_23,CL316_22,14/12/2022,0.739,34,55,After,Male,12,254,326,72,0,0,
LD1402_22,1402,E2,delicata,A_28,CL377_22,16/12/2022,0.779,-,-,After,Male,19,15,355,340,0,0,
LD2255_22,2255,E2,delicata,B_28,CL607_22,6/2/2023,0.488,28,41,After,Female,9,288,320,32,0,0,Empty
LG1218_22,1218,E3,guichenoti,A_28,CL324_22,2/12/2022,0.665,32,42,After,Female,15,16,264,248,1,1,Empty
LG1443_22,1443,E3,guichenoti,A_23,CL388_22,9/1/2023,0.772,32,46,After,Male,20,50,165,115,1,1,
LG2164_22,2164,E3,guichenoti,B_23,CL584_22,24/2/2023,0.48,27,38,After,Female,5,57,142,85,0,0,Empty
